home_team,away_team,date,box_score,play_by_play,article
UTA,POR,20171101,,"[(""'Sefolosha  3PT Jump Shot (15 PTS) (Ingles 5 AST)'"", 29.4), (""MISS Rubio 18' Jump Shot"", 26.4), (""Lillard 2' Driving Layup (28 PTS)"", 30.0), (""MISS Sefolosha 3' Dunk"", 25.9), (""Gobert 2' Dunk (14 PTS)"", 25.9), (""MISS Lillard 28' 3PT Jump Shot"", 46.2), (""'Ingles REBOUND (Off:1 Def:5)'"", 23.3), (""MISS Lillard 16' Floating Jump Shot"", 48.0), (""''"", 50.0)]",
LAC,DAL,20171101,,[],
SAS,GSW,20171102,,[],
POR,LAL,20171102,,"[(""MISS Caldwell-Pope 25' 3PT Jump Shot"", 35.3), (""MISS Nurkic 2' Driving Floating Jump Shot"", 20.2), (""Kuzma 2' Driving Hook Shot (22 PTS)"", 26.5), (""Lillard 1' Driving Layup (29 PTS)"", 29.1), (""MISS Caldwell-Pope 11' Pullup Jump Shot"", 33.0), (""Caldwell-Pope 25' 3PT Turnaround Jump Shot (14 PTS) (Ball 4 AST)"", 33.4), (""Lillard 30' 3PT Pullup Jump Shot (32 PTS)"", 49.4), (""MISS Kuzma 27' 3PT Jump Shot"", 48.7)]",
DET,MIL,20171103,,[],
ORL,CHI,20171103,,[],
PHI,IND,20171103,,"[(""MISS Young 24' 3PT Step Back Jump Shot"", 20.5), (""MISS Embiid 25' 3PT Jump Shot"", 23.0), (""MISS Young 27' 3PT Jump Shot"", 21.9), (""Covington 27' 3PT Jump Shot (22 PTS) (Simmons 9 AST)"", 26.6), (""Redick 26' 3PT Jump Shot (25 PTS) (Simmons 10 AST)"", 30.1)]",
WAS,CLE,20171103,,[],
ATL,HOU,20171103,,[],
NYK,PHO,20171103,,[],
DAL,NOP,20171103,,[],
SAS,CHO,20171103,,[],
DEN,MIA,20171103,,"[(""Richardson 25' 3PT Pullup Jump Shot (7 PTS) (Dragic 7 AST)"", 30.6), (""MISS Jokic 25' 3PT Step Back Jump Shot"", 40.5), (""MISS Barton 4' Layup"", 28.2), (""Harris 11' Hook Shot (10 PTS)"", 29.9), (""Waiters 3' Driving Layup (15 PTS)"", 34.0), (""'MISS Millsap Free Throw 1 of 2'"", 21.3), (""'Millsap Free Throw 1 of 3 (25 PTS)'"", 24.5), (""'Millsap Free Throw 2 of 3 (26 PTS)'"", 25.9), (""'Millsap Free Throw 3 of 3 (27 PTS)'"", 23.4), (""MISS Waiters 23' Pullup Jump Shot"", 93.4)]",
UTA,TOR,20171103,,[],
OKC,BOS,20171103,,"[(""'Horford  3PT Jump Shot (18 PTS) (Smart 5 AST)'"", 28.3), (""MISS Westbrook 25' 3PT Pullup Jump Shot"", 21.1)]",
LAL,BRK,20171103,,[],
LAC,MEM,20171104,,[],
DET,SAC,20171104,,[],
CHI,NOP,20171104,,"[(""MISS Moore 25' 3PT Jump Shot"", 22.6), (""Valentine 26' 3PT Jump Shot (16 PTS)"", 28.1), (""MISS Cousins 25' 3PT Jump Shot"", 29.2), (""Davis 1' Alley Oop Dunk (25 PTS) (Holiday 6 AST)"", 20.4), (""MISS Moore 25' 3PT Jump Shot"", 40.4), (""MISS Lopez 2' Cutting Layup Shot"", 38.7), (""'Lopez REBOUND (Off:3 Def:5)'"", 22.7), (""MISS Lopez 1' Putback Layup"", 38.7), (""'Davis REBOUND (Off:2 Def:12)'"", 22.7), (""MISS Holiday 22' Fadeaway Jumper"", 42.9), (""MISS Lopez 6' Jump Shot"", 48.0), (""''"", 50.0)]",
MIN,DAL,20171104,,[],
DEN,GSW,20171104,,[],
CLE,ATL,20171105,,"[(""MISS Frye 25' 3PT Jump Shot"", 71.6), (""MISS Wade 2' Tip Layup Shot"", 37.8)]",
LAC,MIA,20171105,,"[(""MISS Williams 28' 3PT Jump Shot"", 20.6), (""'Richardson  3PT Jump Shot (12 PTS) (Dragic 6 AST)'"", 25.6), (""Whiteside 1' Alley Oop Dunk (21 PTS) (Johnson 5 AST)"", 20.2), (""'W. Johnson  Running Dunk (6 PTS) (Rivers 3 AST)'"", 34.9), (""'Dragic REBOUND (Off:1 Def:3)'"", 20.5), (""'Johnson Free Throw 1 of 2 (13 PTS)'"", 28.2), (""'Johnson Free Throw 2 of 2 (14 PTS)'"", 25.9), (""MISS Griffin 17' Fadeaway Jumper"", 64.2)]",
ORL,BOS,20171105,,[],
TOR,WAS,20171105,,[],
HOU,UTA,20171105,,[],
SAS,PHO,20171105,,[],
NYK,IND,20171105,,"[(""MISS Ntilikina 25' 3PT Jump Shot"", 22.3), (""Collison 28' 3PT Jump Shot (15 PTS) (Young 3 AST)"", 27.4), (""MISS Oladipo 27' 3PT Jump Shot"", 31.9), (""Ntilikina 26' 3PT Jump Shot (10 PTS) (Porzingis 1 AST)"", 34.0)]",
MIN,CHO,20171105,,[],
POR,OKC,20171105,,"[(""MISS Westbrook 25' 3PT Pullup Jump Shot"", 21.2)]",
LAL,MEM,20171105,,[],
ATL,BOS,20171106,,"[(""MISS Irving 25' 3PT Jump Shot"", 25.4), (""Delaney 25' 3PT Running Pull-Up Jump Shot (13 PTS)"", 31.6), (""Irving 26' 3PT Jump Shot (32 PTS) (Horford 9 AST)"", 33.9), (""MISS Schroder 17' Pullup Jump Shot"", 23.2), (""MISS Irving 25' 3PT Pullup Jump Shot"", 28.1), (""MISS Dedmon 16' Jump Shot"", 26.5), (""'Tatum  3PT Jump Shot (21 PTS) (Smart 5 AST)'"", 29.3)]",
GSW,MIA,20171106,,[],
CLE,MIL,20171107,,[],
IND,NOP,20171107,,"[(""'Collison  3PT Jump Shot (12 PTS) (Bogdanovic 1 AST)'"", 21.2), (""Davis 15' Jump Shot (37 PTS)"", 21.1), (""MISS Turner 20' Jump Shot"", 34.4)]",
WAS,DAL,20171107,,[],
NYK,CHO,20171107,,"[(""'MISS Monk  3PT Jump Shot'"", 29.2), (""Porzingis 27' 3PT Jump Shot (26 PTS) (Ntilikina 8 AST)"", 32.4), (""MISS Monk 24' 3PT Jump Shot"", 27.8), (""MISS Williams 25' 3PT Jump Shot"", 41.1), (""MISS Hardaway Jr. 1' Driving Layup"", 22.9), (""MISS Walker 25' 3PT Jump Shot"", 50.0), (""Porzingis 2' Driving Finger Roll Layup (28 PTS)"", 21.1), (""MISS Monk 26' 3PT Jump Shot"", 36.3)]",
TOR,CHI,20171107,,[],
SAS,LAC,20171107,,[],
DEN,BRK,20171107,,[],
UTA,PHI,20171107,,[],
POR,MEM,20171107,,"[(""MISS McCollum 26' 3PT Step Back Jump Shot"", 32.2), (""MISS Turner 2' Driving Layup"", 21.5), (""MISS McCollum 19' Pullup Jump Shot"", 64.2)]",
SAC,OKC,20171107,,[],
DET,IND,20171108,,[],
ORL,NYK,20171108,,[],
BOS,LAL,20171108,,[],
GSW,MIN,20171108,,[],
WAS,LAL,20171109,,[],
TOR,NOP,20171109,,"[(""MISS Anunoby 26' 3PT Jump Shot"", 20.9), (""'MISS Holiday  3PT Jump Shot'"", 20.4), (""Lowry 26' 3PT Jump Shot (18 PTS) (DeRozan 8 AST)"", 23.1), (""MISS Holiday 27' 3PT Step Back Jump Shot"", 27.3), (""MISS Cousins 26' 3PT Jump Shot"", 21.4)]",
HOU,CLE,20171109,,"[(""MISS Harden 5' Driving Finger Roll Layup"", 20.8), (""Capela 1' Alley Oop Dunk (16 PTS) (Harden 13 AST)"", 21.1)]",
SAC,PHI,20171109,,"[(""Temple 25' 3PT Jump Shot (7 PTS) (Fox 7 AST)"", 20.4), (""MISS Covington 25' 3PT Jump Shot"", 29.3), (""MISS Embiid 3' Hook Shot"", 23.7), (""Fox 19' Pullup Jump Shot (11 PTS)"", 40.0), (""MISS Embiid 18' Jump Shot"", 78.5)]",
DEN,OKC,20171109,,[],
DET,ATL,20171110,,"[(""MISS Jackson 22' Jump Shot"", 20.2), (""MISS Bazemore 16' Pullup Jump Shot"", 22.3), (""MISS Schroder 8' Jump Shot"", 22.3), (""Collins 1' Alley Oop Dunk (16 PTS) (Schroder 10 AST)"", 22.7), (""Jackson 28' 3PT Pullup Jump Shot (17 PTS)"", 39.7), (""MISS Belinelli 26' 3PT Jump Shot"", 32.2)]",
BOS,CHO,20171110,,"[(""MISS Walker 27' 3PT Jump Shot"", 26.5), (""Marc Morris 21' Jump Shot (14 PTS) (Rozier 4 AST)"", 23.6), (""MISS Walker 19' Step Back Jump Shot"", 55.8), (""MISS Walker 85' 3PT Jump Shot"", 48.7)]",
CHI,IND,20171110,,[],
OKC,LAC,20171110,,[],
SAS,MIL,20171110,,"[(""MISS Mills 25' 3PT Jump Shot"", 30.9), (""MISS Green 28' 3PT Jump Shot"", 21.3)]",
UTA,MIA,20171110,,"[(""Waiters 24' 3PT Jump Shot (14 PTS) (Dragic 3 AST)"", 22.8), (""MISS Burks 25' 3PT Jump Shot"", 27.1)]",
POR,BRK,20171110,,"[(""MISS Lillard 24' 3PT Jump Shot"", 20.8), (""MISS Russell 25' 3PT Pullup Jump Shot"", 20.9), (""MISS Turner 24' 3PT Jump Shot"", 33.0), (""MISS Hollis-Jefferson 17' Turnaround Jump Shot"", 22.2), (""Russell 21' Pullup Jump Shot (18 PTS)"", 23.5), (""Russell 1' Driving Finger Roll Layup (20 PTS)"", 21.1)]",
WAS,ATL,20171111,,[],
NOP,LAC,20171111,,[],
NYK,SAC,20171111,,[],
HOU,MEM,20171111,,[],
DAL,CLE,20171111,,"[(""MISS Barnes 25' 3PT Jump Shot"", 22.0), (""MISS Matthews 28' 3PT Jump Shot"", 28.6), (""MISS Barnes 24' 3PT Jump Shot"", 45.0)]",
MIL,LAL,20171111,,[],
SAS,CHI,20171111,,[],
GSW,PHI,20171111,,[],
DEN,ORL,20171111,,[],
UTA,BRK,20171111,,[],
BOS,TOR,20171112,,"[(""MISS Lowry 29' 3PT Jump Shot"", 21.3), (""MISS Smart 12' Turnaround Fadeaway Shot"", 23.5), (""MISS DeRozan 18' Pullup Jump Shot"", 36.9), (""'Tatum REBOUND (Off:1 Def:6)'"", 20.5), (""MISS DeRozan 10' Turnaround Fadeaway Shot"", 76.5)]",
DET,MIA,20171112,,[],
IND,HOU,20171112,,[],
OKC,DAL,20171112,,[],
WAS,SAC,20171113,,[],
NYK,CLE,20171113,,"[(""MISS Frye 25' 3PT Jump Shot"", 21.8), (""Frye 26' 3PT Jump Shot (9 PTS) (James 12 AST)"", 24.8), (""'MISS Smith  3PT Jump Shot'"", 32.6), (""James 27' 3PT Step Back Jump Shot (23 PTS)"", 35.0)]",
MIL,MEM,20171113,,[],
NOP,ATL,20171113,,"[(""MISS Moore 26' 3PT Jump Shot"", 24.1), (""'Cavanaugh  3PT Jump Shot (16 PTS) (Schroder 5 AST)'"", 23.1), (""Miller 25' 3PT Jump Shot (18 PTS) (Nelson 2 AST)"", 20.4), (""Belinelli 25' 3PT Jump Shot (14 PTS) (Cavanaugh 2 AST)"", 26.5), (""Holiday 25' 3PT Jump Shot (13 PTS) (Miller 1 AST)"", 21.1), (""MISS Schroder 16' Jump Shot"", 20.8), (""Miller 24' 3PT Jump Shot (21 PTS) (Holiday 5 AST)"", 44.1), (""MISS Miller 26' 3PT Jump Shot"", 29.3), (""MISS Bazemore 26' 3PT Jump Shot"", 96.0)]",
UTA,MIN,20171113,,[],
POR,DEN,20171113,,[],
GSW,ORL,20171113,,[],
LAC,PHI,20171113,,"[(""MISS Redick 27' 3PT Jump Shot"", 21.4), (""MISS Rivers 28' 3PT Step Back Jump Shot"", 20.6), (""MISS Saric 26' 3PT Jump Shot"", 23.6), (""Williams 25' 3PT Jump Shot (30 PTS) (Griffin 5 AST)"", 21.8), (""Embiid 2' Cutting Layup Shot (32 PTS) (Simmons 4 AST)"", 21.6), (""MISS Griffin 13' Step Back Jump Shot"", 26.0), (""MISS Embiid 2' Layup"", 30.0), (""Covington 25' 3PT Jump Shot (27 PTS) (Saric 2 AST)"", 51.3), (""MISS Williams 26' 3PT Jump Shot"", 48.8)]",
HOU,TOR,20171114,,[],
DAL,SAS,20171114,,[],
ATL,SAC,20171115,,[],
MIA,WAS,20171115,,[],
NYK,UTA,20171115,,"[(""MISS Hardaway Jr. 2' Driving Layup"", 22.4), (""Hardaway Jr. 27' 3PT Jump Shot (22 PTS)"", 29.4)]",
MEM,IND,20171115,,"[(""'MISS Parsons  3PT Jump Shot'"", 20.5), (""MISS Gasol 28' 3PT Jump Shot"", 40.8)]",
MIL,DET,20171115,,"[(""MISS Tolliver 28' 3PT Jump Shot"", 20.2), (""'Bradley  3PT Jump Shot (26 PTS) (Harris 2 AST)'"", 21.4), (""MISS Antetokounmpo 13' Fadeaway Jumper"", 21.1), (""Bledsoe 15' Pullup Jump Shot (12 PTS)"", 30.7)]",
MIN,SAS,20171115,,[],
NOP,TOR,20171115,,[],
OKC,CHI,20171115,,[],
POR,ORL,20171115,,"[(""MISS Fournier 27' 3PT Pullup Jump Shot"", 23.5)]",
LAL,PHI,20171115,,"[(""MISS Kuzma 26' 3PT Jump Shot"", 22.9)]",
BOS,GSW,20171116,,"[(""Durant 26' 3PT Jump Shot (24 PTS) (Green 5 AST)"", 24.1), (""'MISS Brown  3PT Jump Shot'"", 25.8), (""MISS Curry 25' 3PT Pullup Jump Shot"", 29.2), (""MISS Irving 28' 3PT Jump Shot"", 25.2), (""MISS Durant 26' 3PT Jump Shot"", 31.9), (""MISS Thompson 26' 3PT Jump Shot"", 32.7), (""MISS Iguodala 6' Layup"", 21.7), (""Thompson 27' 3PT Jump Shot (13 PTS) (Curry 5 AST)"", 38.5), (""MISS Thompson 25' 3PT Jump Shot"", 37.6), (""MISS Irving 3' Driving Finger Roll Layup"", 28.1), (""MISS Green 25' 3PT Jump Shot"", 42.5), (""'Brown REBOUND (Off:3 Def:4)'"", 21.0), (""MISS Durant 16' Fadeaway Jumper"", 28.4)]",
IND,DET,20171117,,"[(""MISS Oladipo 28' 3PT Jump Shot"", 21.8), (""'Collison  3PT Jump Shot (14 PTS) (Oladipo 3 AST)'"", 22.9), (""MISS Jackson 28' 3PT Jump Shot"", 26.1), (""Stephenson 28' 3PT Jump Shot (12 PTS)"", 26.0)]",
WAS,MIA,20171117,,"[(""MISS Oubre Jr. 25' 3PT Jump Shot"", 20.9), (""MISS Beal 25' 3PT Jump Shot"", 21.0), (""MISS Wall 26' 3PT Jump Shot"", 34.2), (""MISS Beal 17' Jump Shot"", 42.0)]",
